name,kind,released,venue,status,scope,year,url,paper,code,license,scale,tasks,modalities
Xperience-10M,dataset,2026-03,Hugging Face,request,,2026,https://huggingface.co/datasets/ropedia-ai/xperience-10m,,,other,"10M experiences, 10K hours, six video streams, audio, stereo depth, camera pose, hand/body mocap, IMU, hierarchical language, about 1 PB total",embodied-ai; world-modeling; robot-learning; sensor-fusion; 3d-4d-understanding; imitation-learning,fisheye-video; stereo-video; audio; stereo-depth; camera-pose; hand-mocap; full-body-mocap; imu; hierarchical-language
Xperience-10M Sample,dataset,2026,Hugging Face,open,,2026,https://huggingface.co/datasets/ropedia-ai/xperience-10m-sample,,,cc-by-nc-4.0,Public sample episode; Hugging Face viewer reports 6 rows,sample-data; loader-testing; visualization; task-suite-prototyping,video; hdf5-annotations
Ego4D,dataset,2021-10,CVPR 2022,request,,2021,https://ego4d-data.org/,https://arxiv.org/abs/2110.07058,https://github.com/facebookresearch/Ego4d,Ego4D License Agreement,"3,670+ hours, 900+ camera wearers, 74 locations, 9 countries",episodic-memory; nlq; moment-query; hand-object; forecasting; social; audio-visual,video; audio; gaze; stereo; 3d; narrations
Ego-Exo4D,dataset,2023-11,CVPR 2024,request,,2023,https://ego-exo4d-data.org/,https://arxiv.org/abs/2311.18259,https://github.com/facebookresearch/projectaria_tools,Ego-Exo4D License Agreement,"1,286 hours, 740 participants, synchronized ego/exo views",ego-exo; skilled-activity; cross-view; proficiency; pose,video; audio; gaze; imu; 3d-point-clouds; camera-poses; language
EPIC-KITCHENS-100,dataset,2020-06,IJCV 2022,open,,2020,https://epic-kitchens.github.io/,https://arxiv.org/abs/2006.13256,https://github.com/epic-kitchens/epic-kitchens-100-annotations,CC BY-NC 4.0,"100 hours, 20M frames, 90K action segments, 45 kitchens",action-recognition; action-detection; anticipation; retrieval; domain-adaptation,video; audio; narrations; object-boxes
HD-EPIC,dataset,2025-02,CVPR 2025,open,,2025,https://arxiv.org/abs/2502.04144,https://arxiv.org/abs/2502.04144,,,"41 hours, 9 kitchens, 59K fine-grained actions, 26K VQA questions",vqa; action-recognition; audio-events; object-motion; gaze-reasoning,video; audio; gaze; object-masks; digital-twins; 3d
HoloAssist,dataset,2023-09,ICCV 2023,open,,2023,https://holoassist.github.io/,https://arxiv.org/abs/2309.17024,,,"166 hours, 350 instructor-performer pairs",interactive-assistance; mistake-detection; intervention-prediction; hand-forecasting,rgb; depth; gaze; hand; head; imu; audio
Assembly101,dataset,2022-03,CVPR 2022,open,,2022,https://assembly-101.github.io/,https://arxiv.org/abs/2203.14712,,,"4,321 videos, 8 static plus 4 egocentric views, 1M fine-grained action segments",procedural-action; anticipation; temporal-segmentation; mistake-detection,multiview-video; egocentric-video; 3d-hand-pose
Ego-1K,dataset,2026-03,CVPR 2026,open,,2026,https://huggingface.co/datasets/facebook/ego-1k,https://arxiv.org/abs/2603.13741,,,"Nearly 1,000 synchronized multiview egocentric videos",dynamic-scene-understanding; novel-view-synthesis; 3d-reconstruction,multiview-video; calibration
EgoObjects,dataset,2023-09,ICCV 2023,open,,2023,https://github.com/facebookresearch/EgoObjects,https://arxiv.org/abs/2309.08816,,,"9K+ videos, 650K annotations, 368 categories in pilot release",object-detection; instance-understanding; continual-learning,video; object-boxes; instance-labels
EgoBlind,dataset,2025-03,NeurIPS 2025 D&B,watch,,2025,https://arxiv.org/abs/2503.08221,https://arxiv.org/abs/2503.08221,,,"1,392 first-person videos from blind and visually impaired users; 5,311 questions",assistive-videoqa; blind-assistance; egocentric-vqa,first-person-video; qa
EgoDex,dataset,2025-05,ICLR 2026,watch,,2025,https://arxiv.org/abs/2505.11709,https://arxiv.org/abs/2505.11709,,,"829 hours, 194 tabletop tasks, Apple Vision Pro capture",dexterous-manipulation; imitation-learning; vla,egocentric-video; 3d-hand-pose; head-pose
EgoVerse,dataset,2026-04,arXiv,watch,,2026,https://egoverse.ai/,https://arxiv.org/abs/2604.07607,,,"1,362 hours, 80K episodes, 1,965 tasks, 2,087 demonstrators",robot-learning; vla; human-demonstrations,egocentric-video; annotations; tooling
OpenEgo,dataset,2025-09,arXiv,watch,,2025,https://arxiv.org/abs/2509.05513,https://arxiv.org/abs/2509.05513,,,"1,107 hours across six public datasets, 290 manipulation tasks",dexterous-manipulation; standardized-pretraining; vla,egocentric-video; hand-pose; action-primitives
Dobb-E / HoNY,dataset,2023-11,arXiv,partial,,2023,https://dobb-e.com/,https://arxiv.org/abs/2311.16098,https://github.com/notmahi/dobb-e,,"Homes of New York dataset: 13 hours, 22 homes, 216 environments, 5,620 trajectories, 1.5M RGB-D frames collected with an iPhone-based Stick",robot-learning; imitation-learning; manipulation; data-collection,rgb; depth; robot-actions; wrist-camera-video
Universal Manipulation Interface / UMI,toolkit,2024-02,RSS 2024,open,,2024,https://umi-gripper.github.io/,https://arxiv.org/abs/2402.10329,https://github.com/real-stanford/universal_manipulation_interface,MIT,"Hand-held GoPro gripper interface and policy stack for in-the-wild robot teaching, including example and cup-arrangement data workflows",robot-learning; imitation-learning; cross-embodiment-transfer; bimanual-manipulation; data-collection,wrist-camera-video; imu; robot-actions
FastUMI,dataset,2024-09,arXiv,watch,,2024,https://arxiv.org/abs/2409.19499,https://arxiv.org/abs/2409.19499,,,"UMI redesign with a reported 10,000+ real-world demonstration trajectories across 22 everyday manipulation tasks",robot-learning; imitation-learning; manipulation; data-collection,wrist-camera-video; robot-actions
